RegionID,SizeRank,RegionName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
102001,0,United States,"255,035.28","276,260.11","300,328.68","329,586.51","374,593.14","425,080.59","442,596.23","425,274.12","377,340.86","350,512.85","340,252.57","323,997.70","336,228.20","368,020.69","386,967.55","407,077.80","422,744.66","447,325.59","469,530.82","480,926.50","521,054.32","605,211.15","651,296.19","659,894.87"
9,0,California,"433,728.28","483,029.98","541,502.27","617,775.68","758,616.13","883,209.78","900,295.22","827,918.57","664,921.56","613,271.13","602,958.69","566,491.77","611,845.02","717,289.29","779,660.20","824,616.91","851,278.82","932,005.53","1,022,390.02","1,012,469.62","1,091,613.67","1,269,366.46","1,337,902.53","1,356,944.59"
54,1,Texas,"217,875.45","217,966.16","223,571.06","226,494.79","241,830.98","249,656.63","260,265.86","266,490.44","259,228.99","256,543.14","252,316.78","247,742.25","256,799.67","276,596.70","297,991.05","319,707.28","331,157.63","344,388.23","355,423.56","363,949.90","391,640.97","470,846.00","519,135.86","515,595.69"
14,2,Florida,"226,283.13","248,962.10","274,857.52","309,760.21","364,829.94","461,980.67","506,100.49","450,531.23","357,885.75","303,779.22","285,738.63","267,462.05","280,825.34","315,568.79","339,238.33","363,100.21","378,385.66","395,764.47","415,058.18","425,113.01","457,787.35","565,402.80","670,515.49","678,412.11"
43,3,New York,"370,523.87","409,272.44","453,250.23","507,195.37","567,594.57","637,170.76","663,497.32","656,877.91","627,545.59","591,227.05","588,450.54","572,578.23","576,939.86","604,706.94","635,258.42","664,819.20","689,821.90","721,617.93","753,266.26","754,841.21","769,592.82","828,978.69","861,494.52","857,889.41"
47,4,Pennsylvania,"193,805.53","205,544.45","223,001.97","244,528.23","271,292.42","301,826.38","317,578.62","319,700.98","307,373.58","298,997.51","293,656.87","281,317.81","283,209.30","291,632.84","295,544.11","303,908.22","309,823.25","321,308.28","330,349.49","341,569.39","367,942.49","405,099.14","437,490.93","450,337.30"
21,5,Illinois,"273,421.67","296,563.94","318,346.07","340,286.00","368,548.54","400,674.72","415,875.59","410,102.59","372,556.35","335,963.08","314,916.11","291,666.36","286,815.70","311,303.49","324,416.35","333,484.85","338,673.56","348,344.79","352,783.45","352,407.99","368,041.59","400,311.92","423,061.26","435,181.22"
44,6,Ohio,"206,699.58","213,643.12","220,031.06","228,089.24","235,400.04","242,238.57","244,047.01","239,150.61","230,540.09","221,204.86","216,030.89","207,475.67","209,092.28","218,817.42","225,449.93","236,312.55","244,239.12","255,315.83","267,728.72","278,953.08","304,872.93","338,754.96","368,108.28","380,702.13"
16,7,Georgia,"257,366.01","271,797.39","280,981.81","288,138.85","298,885.29","312,666.55","326,322.97","328,894.55","306,503.45","276,289.57","259,479.43","240,397.57","246,688.95","269,287.46","284,876.58","302,016.01","315,354.36","332,977.48","351,827.02","362,560.07","392,247.15","466,686.20","515,674.71","527,835.99"
36,8,North Carolina,"247,622.56","255,077.03","259,726.30","265,777.51","275,750.99","293,090.98","313,687.45","326,381.14","318,220.54","301,448.05","290,905.55","277,256.97","280,518.34","291,828.51","299,597.13","313,728.53","326,159.88","340,771.64","355,685.99","367,315.16","400,419.43","481,549.22","538,271.48","548,079.43"
