,,Total Monthly Income Amount,Total Monthly Income Amount
,,mean,median
Year,State,,
2019,Alabama,12487.99107142857,9237.5
2019,Alaska,18334.666666666668,17333.0
2019,Arizona,12459.431309904154,9167.0
2019,Arkansas,10080.330357142857,8694.0
2019,California,13941.699649737304,12033.5
2019,Colorado,9995.935214211077,8232.0
2019,Connecticut,10083.932989690722,8940.5
2019,Delaware,12460.407407407407,10305.5
2019,District of Columbia,14589.348314606741,12917.0
2019,Florida,12497.461678832116,9888.0
2019,Georgia,11554.626506024097,10015.5
2019,Hawaii,21282.666666666668,10665.0
2019,Idaho,9308.825670498085,7608.0
2019,Illinois,7464.865488316357,6088.5
2019,Indiana,8488.331288343557,7083.0
2019,Iowa,7778.05527244218,6661.0
2019,Kansas,8637.775601795185,7391.0
2019,Kentucky,9025.246616541353,7782.0
2019,Louisiana,11669.029177718832,9216.0
2019,Maine,10404.333333333334,8918.5
2019,Maryland,13484.085365853658,11884.0
2019,Massachusetts,10583.039663461539,9103.5
2019,Michigan,10190.123481781377,8121.5
2019,Minnesota,9488.228210246174,7818.0
2019,Mississippi,10891.802083333334,8408.5
2019,Missouri,8617.64815932408,7288.0
2019,Montana,7561.239436619719,6804.0
2019,Nebraska,9378.442841287459,7699.0
2019,Nevada,10822.243243243243,8047.5
2019,New Hampshire,12527.833333333334,11158.0
2019,New Jersey,12384.917525773197,10839.5
2019,New Mexico,10395.972789115645,8772.0
2019,New York,10178.59324009324,9050.5
2019,North Carolina,11177.38190954774,10005.5
2019,North Dakota,8226.5,7227.0
2019,Ohio,9381.66543500168,7846.0
2019,Oklahoma,8824.887692307693,6856.5
2019,Oregon,9878.122549019608,7019.0
2019,Pennsylvania,8706.60759493671,7333.0
2019,Rhode Island,11022.814432989691,9152.0
2019,South Carolina,11805.203389830509,9382.5
2019,South Dakota,8918.533707865168,6906.5
2019,Tennessee,9748.822355289421,8574.0
2019,Texas,11301.241924851682,9996.0
2019,Utah,8821.093525179856,7444.0
2019,Vermont,7765.113636363636,6694.5
2019,Virginia,12425.394817073171,11325.0
2019,Washington,11302.792899408283,10666.0
2019,West Virginia,9578.907407407407,7032.0
2019,Wisconsin,8518.588235294117,6957.5
2019,Wyoming,10798.058823529413,8296.0
2020,Alabama,11674.298245614034,9580.0
2020,Alaska,12125.0,12125.0
2020,Arizona,11582.037037037036,8045.0
2020,Arkansas,10731.701612903225,8908.0
2020,California,12379.91489361702,11617.0
2020,Colorado,8190.555153707052,6933.0
2020,Connecticut,9070.16,8353.0
2020,Delaware,16254.75,14890.0
2020,District of Columbia,15546.939393939394,13017.0
2020,Florida,12443.471830985916,10053.0
2020,Georgia,13395.372093023256,11820.0
2020,Hawaii,15098.0,15098.0
2020,Idaho,7097.5161290322585,6952.0
2020,Illinois,6763.504247104247,5471.5
2020,Indiana,8947.972079353416,6919.0
2020,Iowa,7018.097817908201,6076.0
2020,Kansas,7440.952623906705,6138.5
2020,Kentucky,9349.60815047022,8032.0
2020,Louisiana,11122.567567567568,9221.0
2020,Maine,13081.214285714286,9250.5
2020,Maryland,13972.669565217391,11819.0
2020,Massachusetts,10294.08888888889,9224.0
2020,Michigan,9702.51799687011,7492.0
2020,Minnesota,8713.386029411764,7214.0
2020,Mississippi,9164.921052631578,7836.5
2020,Missouri,8005.403679653679,5996.0
2020,Montana,8128.909090909091,8536.0
2020,Nebraska,9051.467073170732,6732.0
2020,Nevada,8220.216216216217,6584.0
2020,New Hampshire,10545.57142857143,8084.0
2020,New Jersey,13951.584745762711,10584.0
2020,New Mexico,11180.235294117647,9925.0
2020,New York,9957.466135458168,8273.0
2020,North Carolina,12630.159574468085,10083.5
2020,North Dakota,10777.636363636364,8540.0
2020,Ohio,8945.492088607594,7698.5
2020,Oklahoma,7978.903790087464,6867.0
2020,Oregon,7967.482142857143,6760.0
2020,Pennsylvania,8493.215171407732,7087.0
2020,Rhode Island,11499.851851851852,8781.0
2020,South Carolina,11223.068965517241,9896.0
2020,South Dakota,7057.585253456221,5602.0
2020,Tennessee,11569.722972972973,8701.0
2020,Texas,10933.076424870465,9547.5
2020,Utah,9462.8,7473.0
2020,Vermont,8318.884615384615,6837.5
2020,Virginia,15556.747422680412,11711.0
2020,Washington,8399.706896551725,7180.5
2020,West Virginia,10365.157480314962,8127.0
2020,Wisconsin,7875.238390092879,6535.0
2020,Wyoming,5857.9,5789.0
2021,Alabama,11498.204918032787,9583.0
2021,Alaska,12888.0,12888.0
2021,Arizona,17469.67924528302,10410.0
2021,Arkansas,12716.651982378855,9489.0
2021,California,15836.128205128205,13216.0
2021,Colorado,8306.859099804306,6857.0
2021,Connecticut,9897.029411764706,9228.0
2021,Delaware,22330.5625,17365.0
2021,District of Columbia,15221.738095238095,13240.0
2021,Florida,17396.553719008265,13685.0
2021,Georgia,11615.906976744185,9923.0
2021,Hawaii,5937.5,5937.5
2021,Idaho,11964.114285714286,8602.0
2021,Illinois,7033.20128307939,5420.0
2021,Indiana,9355.580095432857,7200.0
2021,Iowa,7469.524576271187,6034.5
2021,Kansas,8323.767737617136,6668.0
2021,Kentucky,8770.287066246057,7182.0
2021,Louisiana,9119.63768115942,7735.0
2021,Maine,12607.95,9766.5
2021,Maryland,13877.331034482759,11872.0
2021,Massachusetts,11343.745098039215,9499.5
2021,Michigan,11209.908902691512,8316.0
2021,Minnesota,9858.207619047618,7625.0
2021,Mississippi,7754.775,6753.0
2021,Missouri,8736.525309336334,6793.0
2021,Montana,14777.0,10000.0
2021,Nebraska,8683.97619047619,7293.5
2021,Nevada,14730.076923076924,9652.0
2021,New Hampshire,15335.3,11960.0
2021,New Jersey,14637.064102564103,11298.0
2021,New Mexico,11528.127118644068,9272.5
2021,New York,9290.20447284345,7527.0
2021,North Carolina,15067.391304347826,12346.0
2021,North Dakota,11193.925925925925,8855.0
2021,Ohio,9215.943790849673,7861.5
2021,Oklahoma,10370.885813148789,7760.0
2021,Oregon,8267.65625,6787.0
2021,Pennsylvania,9150.016853932584,7374.5
2021,Rhode Island,8323.7,7889.5
2021,South Carolina,16824.343434343435,14167.0
2021,South Dakota,8290.108571428571,6257.0
2021,Tennessee,10601.899193548386,8333.0
2021,Texas,12613.183402489627,10570.0
2021,Utah,13143.95652173913,8334.0
2021,Vermont,8796.029702970298,7594.0
2021,Virginia,14094.958174904943,12369.0
2021,Washington,13566.52380952381,12302.0
2021,West Virginia,11189.073825503356,8029.0
2021,Wisconsin,8450.05353075171,6813.5
2021,Wyoming,8529.625,7918.0
2022,Alabama,11309.684931506848,10357.5
2022,Alaska,20329.0,20329.0
2022,Arizona,16115.223300970874,11250.0
2022,Arkansas,11538.316363636364,8797.0
2022,California,16371.957746478873,13328.0
2022,Colorado,10365.670833333334,8178.0
2022,Connecticut,10408.19512195122,8460.0
2022,Delaware,14949.813953488372,11253.0
2022,District of Columbia,14757.0,14540.5
2022,Florida,16515.83243243243,12590.0
2022,Georgia,13399.751515151514,11413.0
2022,Hawaii,17070.666666666668,15495.0
2022,Idaho,10682.568539325843,9167.0
2022,Illinois,8151.96123306866,6496.0
2022,Indiana,9686.885189437427,7996.0
2022,Iowa,7961.249027237354,6874.0
2022,Kansas,9440.266666666666,7842.5
2022,Kentucky,12795.044444444444,8289.5
2022,Louisiana,13267.804347826086,8683.5
