None,indicator_id,region_id,date,value
0,ZSFH,99999,2023-09-30,479997.212605383
1,ZSFH,99999,2023-08-31,482637.385685941
2,ZSFH,99999,2023-07-31,484120.631163342
3,ZSFH,99999,2023-06-30,484162.565369653
4,ZSFH,99999,2023-05-31,482688.842348528
5,ZSFH,99999,2023-04-30,479452.946228324
6,ZSFH,99999,2023-03-31,477263.46086775
7,ZSFH,99999,2023-02-28,477220.374380299
8,ZSFH,99999,2023-01-31,480309.325492258
9,ZSFH,99999,2022-12-31,484724.583741457
10,ZSFH,99999,2022-11-30,488730.267400805
11,ZSFH,99999,2022-10-31,491940.364143114
12,ZSFH,99999,2022-09-30,494392.001219328
13,ZSFH,99999,2022-08-31,499063.650023232
14,ZSFH,99999,2022-07-31,503604.504916986
15,ZSFH,99999,2022-06-30,507151.13189685
16,ZSFH,99999,2022-05-31,505589.307235577
17,ZSFH,99999,2022-04-30,500688.559076738
18,ZSFH,99999,2022-03-31,493530.797541912
19,ZSFH,99999,2022-02-28,486216.60836795
20,ZSFH,99999,2022-01-31,480264.98622642
21,ZSFH,99999,2021-12-31,475081.09489274
22,ZSFH,99999,2021-11-30,471983.308006302
23,ZSFH,99999,2021-10-31,470292.180025075
24,ZSFH,99999,2021-09-30,469651.086492083
25,ZSFH,99999,2021-08-31,467441.869680814
26,ZSFH,99999,2021-07-31,460569.96129009
27,ZSFH,99999,2021-06-30,450649.869195251
28,ZSFH,99999,2021-05-31,440518.23114028
29,ZSFH,99999,2021-04-30,433017.603892376
30,ZSFH,99999,2021-03-31,424911.384735565
31,ZSFH,99999,2021-02-28,417072.180407893
32,ZSFH,99999,2021-01-31,408275.782057824
33,ZSFH,99999,2020-12-31,401000.662902793
34,ZSFH,99999,2020-11-30,393152.780198386
35,ZSFH,99999,2020-10-31,385021.593099635
36,ZSFH,99999,2020-09-30,377759.841622393
37,ZSFH,99999,2020-08-31,372075.605082337
38,ZSFH,99999,2020-07-31,369886.298544515
39,ZSFH,99999,2020-06-30,368718.301015339
40,ZSFH,99999,2020-05-31,367140.778335004
41,ZSFH,99999,2020-04-30,363539.440120673
42,ZSFH,99999,2020-03-31,359059.403987172
43,ZSFH,99999,2020-02-29,356322.334739246
44,ZSFH,99999,2020-01-31,354610.375559888
45,ZSFH,99999,2019-12-31,353869.429508543
46,ZSFH,99999,2019-11-30,351375.952640762
47,ZSFH,99999,2019-10-31,348661.026619518
48,ZSFH,99999,2019-09-30,346145.696219955
49,ZSFH,99999,2019-08-31,344931.87765496
50,ZSFH,99999,2019-07-31,343563.661064794
51,ZSFH,99999,2019-06-30,341120.058933363
52,ZSFH,99999,2019-05-31,337718.879759061
53,ZSFH,99999,2019-04-30,333838.663340649
54,ZSFH,99999,2019-03-31,330423.261002432
55,ZSFH,99999,2019-02-28,326904.49772387
56,ZSFH,99999,2019-01-31,324450.637861277
57,ZSFH,99999,2018-12-31,322065.414893245
58,ZSFH,99999,2018-11-30,320260.17343202
59,ZSFH,99999,2018-10-31,317814.104442252
60,ZSFH,99999,2018-09-30,315944.065597009
61,ZSFH,99999,2018-08-31,312754.643160215
62,ZSFH,99999,2018-07-31,309948.914917006
63,ZSFH,99999,2018-06-30,307098.368468722
64,ZSFH,99999,2018-05-31,305447.90287124
65,ZSFH,99999,2018-04-30,303073.436151285
66,ZSFH,99999,2018-03-31,299642.997451993
67,ZSFH,99999,2018-02-28,295513.937949357
68,ZSFH,99999,2018-01-31,290993.354248789
69,ZSFH,99999,2017-12-31,287108.588008703
70,ZSFH,99999,2017-11-30,283848.65404895
71,ZSFH,99999,2017-10-31,281244.669108256
72,ZSFH,99999,2017-09-30,279330.077077662
73,ZSFH,99999,2017-08-31,276192.00340119
74,ZSFH,99999,2017-07-31,273367.5346728
75,ZSFH,99999,2017-06-30,269812.246173285
76,ZSFH,99999,2017-05-31,267801.039323526
77,ZSFH,99999,2017-04-30,265982.307054486
78,ZSFH,99999,2017-03-31,265113.256878328
79,ZSFH,99999,2017-02-28,265134.904244374
80,ZSFH,99999,2017-01-31,265387.190232675
81,ZSFH,99999,2016-12-31,265193.417833429
82,ZSFH,99999,2016-11-30,263801.347893777
83,ZSFH,99999,2016-10-31,262171.207436808
84,ZSFH,99999,2016-09-30,260112.13294675
85,ZSFH,99999,2016-08-31,258456.442965441
